Daily_high,Daily_low,Asia_high,Asia_low,London_high,London_low,NY_high,NY_low,Daily_high,Daily_low,Asia_high,Asia_low,London_high,London_low,NY_high,NY_low,Daily_high,Daily_low,Asia_high,Asia_low,London_high,London_low,NY_high,NY_low,Daily_high,Daily_low,Asia_high,Asia_low,London_high,London_low,NY_high,NY_low,Daily_high,Daily_low,Asia_high,Asia_low,London_high,London_low,NY_high,NY_low,Daily_high,Daily_low,Asia_high,Asia_low,London_high,London_low,NY_high,NY_low,Daily_high,Daily_low,Asia_high,Asia_low,London_high,London_low,NY_high,NY_low,Daily_high,Daily_low,Asia_high,Asia_low,London_high,London_low,NY_high,NY_low
18.0,28.0,,,,,,,9.0,9.0,,,,,,,14.0,8.0,,,,,,,14.0,9.0,,,,,,,13.0,4.0,,,,,,,15.0,27.0,,,,,,,8.0,10.0,,,,,,,18.0,8.0,,,,,,
10.0,13.0,,,,,,,3.0,11.0,,,,,,,8.0,9.0,,,,,,,15.0,10.0,,,,,,,9.0,1.0,,,,,,,16.0,12.0,,,,,,,6.0,15.0,,,,,,,11.0,11.0,,,,,,
11.0,13.0,,,,,,,8.0,12.0,,,,,,,12.0,6.0,,,,,,,17.0,8.0,,,,,,,8.0,1.0,,,,,,,17.0,13.0,,,,,,,12.0,21.0,4.0,8.0,,,,,6.0,12.0,16.0,16.0,,,,
15.0,6.0,,,,,,,11.0,31.0,,,,,,,7.0,54.0,,,,,,,7.0,46.0,,,,,,,18.0,73.0,,,,,,,21.0,22.0,,,,,,,6.0,4.0,21.0,29.0,,,,,7.0,1.0,20.0,19.0,,,,
7.0,7.0,,,,,,,7.0,9.0,,,,,,,7.0,13.0,,,,,,,7.0,12.0,,,,,,,8.0,19.0,,,,,,,20.0,17.0,,,,,,,1.0,1.0,8.0,11.0,,,,,2.0,1.0,10.0,7.0,,,,
11.0,3.0,,,,,,,2.0,5.0,,,,,,,9.0,12.0,,,,,,,11.0,10.0,,,,,,,12.0,29.0,,,,,,,22.0,10.0,,,,,,,1.0,1.0,12.0,12.0,,,,,3.0,3.0,21.0,14.0,,,,
8.0,1.0,,,,,,,4.0,12.0,,,,,,,12.0,9.0,,,,,,,11.0,14.0,,,,,,,6.0,22.0,,,,,,,17.0,16.0,,,,,,,4.0,6.0,11.0,27.0,,,,,1.0,1.0,4.0,16.0,,,,
14.0,2.0,101.0,103.0,,,,,5.0,17.0,77.0,182.0,,,,,5.0,32.0,65.0,141.0,,,,,10.0,21.0,63.0,213.0,,,,,16.0,53.0,97.0,328.0,,,,,18.0,11.0,142.0,121.0,,,,,3.0,4.0,39.0,40.0,,,,,7.0,9.0,50.0,51.0,,,,
5.0,2.0,52.0,42.0,,,,,5.0,8.0,45.0,46.0,,,,,15.0,8.0,51.0,31.0,,,,,6.0,7.0,34.0,60.0,,,,,8.0,20.0,48.0,71.0,,,,,16.0,13.0,60.0,51.0,,,,,3.0,4.0,31.0,22.0,,,,,5.0,2.0,40.0,23.0,,,,
8.0,3.0,56.0,50.0,,,,,2.0,3.0,27.0,32.0,,,,,8.0,9.0,37.0,30.0,,,,,7.0,4.0,30.0,30.0,,,,,5.0,9.0,41.0,47.0,,,,,9.0,11.0,42.0,57.0,,,,,7.0,2.0,27.0,20.0,,,,,2.0,2.0,32.0,23.0,,,,
6.0,6.0,59.0,63.0,,,,,8.0,7.0,31.0,33.0,,,,,6.0,14.0,30.0,53.0,,,,,5.0,8.0,23.0,45.0,,,,,2.0,9.0,24.0,42.0,,,,,31.0,22.0,97.0,66.0,,,,,3.0,2.0,17.0,12.0,,,,,2.0,,20.0,10.0,,,,
17.0,12.0,81.0,92.0,,,,,9.0,3.0,44.0,22.0,,,,,9.0,13.0,25.0,36.0,,,,,8.0,6.0,43.0,32.0,,,,,6.0,4.0,33.0,24.0,,,,,44.0,35.0,123.0,126.0,,,,,5.0,7.0,40.0,56.0,,,,,6.0,7.0,39.0,38.0,,,,
13.0,9.0,69.0,62.0,,,,,3.0,4.0,28.0,25.0,,,,,6.0,8.0,18.0,26.0,,,,,5.0,4.0,31.0,18.0,,,,,3.0,5.0,30.0,21.0,,,,,24.0,20.0,57.0,72.0,,,,,8.0,1.0,33.0,15.0,,,,,6.0,3.0,43.0,21.0,,,,
15.0,15.0,67.0,58.0,,,,,4.0,1.0,41.0,23.0,,,,,9.0,4.0,49.0,18.0,,,,,4.0,8.0,30.0,36.0,,,,,1.0,3.0,21.0,18.0,,,,,18.0,19.0,68.0,62.0,,,,,9.0,3.0,40.0,21.0,,,,,6.0,1.0,34.0,19.0,,,,
